[16:47:40] ,329810,0.773,2.715
[16:47:40] ,329820,0.773,2.717
[16:47:40] ,329830,0.775,2.717
[16:47:40] ,329840,0.776,2.717
[16:47:40] ,329850,0.779,2.717
[16:47:40] ,329860,0.781,2.717
[16:47:40] ,329870,0.784,2.715
[16:47:40] ,329880,0.787,2.717
[16:47:40] ,329890,0.788,2.717
[16:47:40] ,329900,0.790,2.717
[16:47:40] ,329910,0.792,2.717
[16:47:40] ,329920,0.793,2.717
[16:47:40] ,329930,0.793,2.718
[16:47:40] ,329940,0.793,2.718
[16:47:40] ,329950,0.795,2.718
[16:47:40] ,329960,0.795,2.718
[16:47:40] ,329970,0.795,2.718
[16:47:40] ,329980,0.796,2.718
[16:47:40] ,329990,0.798,2.718
[16:47:40] ,330000,0.801,2.718
[16:47:40] ,330010,0.802,2.718
[16:47:40] ,330020,0.804,2.718
[16:47:40] ,330030,0.805,2.718
[16:47:40] ,330040,0.807,2.718
[16:47:40] ,330050,0.808,2.718
[16:47:40] ,330060,0.808,2.718
[16:47:40] ,330070,0.808,2.718
[16:47:40] ,330080,0.810,2.718
[16:47:40] ,330090,0.810,2.718
[16:47:40] ,330100,0.811,2.718
[16:47:40] ,330110,0.811,2.718
[16:47:40] ,330120,0.813,2.718
[16:47:40] ,330130,0.815,2.718
[16:47:40] ,330140,0.816,2.718
[16:47:40] ,330150,0.819,2.718
[16:47:40] ,330160,0.821,2.717
[16:47:40] ,330170,0.822,2.717
[16:47:40] ,330180,0.824,2.717
[16:47:40] ,330190,0.824,2.717
[16:47:40] ,330200,0.824,2.717
[16:47:40] ,330210,0.824,2.717
[16:47:40] ,330220,0.825,2.717
[16:47:40] ,330230,0.825,2.717
[16:47:40] ,330240,0.827,2.717
[16:47:40] ,330250,0.828,2.717
[16:47:40] ,330260,0.830,2.717
[16:47:40] ,330270,0.831,2.715
[16:47:40] ,330280,0.833,2.715
[16:47:40] ,330290,0.834,2.715
[16:47:40] ,330300,0.834,2.715
[16:47:40] ,330310,0.834,2.715
[16:47:40] ,330320,0.836,2.715
[16:47:40] ,330330,0.836,2.715
[16:47:40] ,330340,0.836,2.715
[16:47:40] ,330350,0.836,2.715
[16:47:40] ,330360,0.838,2.715
[16:47:40] ,330370,0.839,2.715
[16:47:40] ,330380,0.841,2.715
[16:47:40] ,330390,0.841,2.715
[16:47:40] ,330400,0.842,2.715
[16:47:40] ,330410,0.844,2.715
[16:47:40] ,330420,0.845,2.715
[16:47:40] ,330430,0.845,2.715
[16:47:40] ,330440,0.845,2.717
[16:47:40] ,330450,0.847,2.717
[16:47:40] ,330460,0.847,2.717
[16:47:40] ,330470,0.847,2.717
[16:47:40] ,330480,0.847,2.717
[16:47:40] ,330490,0.848,2.717
[16:47:40] ,330500,0.848,2.717
[16:47:40] ,330510,0.850,2.717
[16:47:40] ,330520,0.851,2.717
[16:47:40] ,330530,0.853,2.717
[16:47:40] ,330540,0.854,2.717
[16:47:40] ,330550,0.854,2.717
[16:47:40] ,330560,0.856,2.718
[16:47:40] ,330570,0.856,2.718
[16:47:40] ,330580,0.857,2.718
[16:47:40] ,330590,0.857,2.718
[16:47:40] ,330600,0.857,2.718
[16:47:40] ,330610,0.857,2.718
[16:47:40] ,330620,0.857,2.718
[16:47:40] ,330630,0.857,2.718
[16:47:40] ,330640,0.857,2.718
[16:47:40] ,330650,0.859,2.718
[16:47:40] ,330660,0.859,2.718
[16:47:40] ,330670,0.861,2.718
[16:47:40] ,330680,0.862,2.718
[16:47:40] ,330690,0.862,2.718
[16:47:40] ,330700,0.864,2.718
[16:47:40] ,330710,0.865,2.718
