System Current (A)_x,System Current (A)_y,System Voltage (V)_x,System Voltage (V)_y,3.3V Current (A)_x,3.3V Current (A)_y,5V Current (A)_x,5V Current (A)_y,12V Current (A)_x,12V Current (A)_y
15.1445031166,0.,15.1445031166,15.43,15.1445031166,42.979,15.1445031166,2.686,15.1445031166,8.059
15.1448898315,0.,15.1448898315,15.52,15.1448898315,32.234,15.1448898315,5.372,15.1448898315,8.059
15.1832268238,0.,15.1832268238,15.438,15.1832268238,42.979,15.1832268238,5.372,15.1832268238,8.059
15.1837079525,0.,15.1837079525,15.564,15.1837079525,126.252,15.1837079525,5.372,15.1837079525,5.372
15.1841528416,0.,15.1841528416,15.535,15.1841528416,48.352,15.1841528416,5.372,15.1841528416,2.686
15.1845450401,0.,15.1845450401,15.467,15.1845450401,34.921,15.1845450401,5.372,15.1845450401,5.372
15.2235200405,0.,15.2235200405,15.423,15.2235200405,32.234,15.2235200405,5.372,15.2235200405,5.372
15.2240998745,0.,15.2240998745,15.557,15.2240998745,88.645,15.2240998745,5.372,15.2240998745,5.372
15.2244837284,0.,15.2244837284,15.497,15.2244837284,56.41,15.2244837284,5.372,15.2244837284,8.059
15.2248888016,0.,15.2248888016,15.46,15.2248888016,37.607,15.2248888016,5.372,15.2248888016,5.372
15.2625820637,0.,15.2625820637,15.43,15.2625820637,29.548,15.2625820637,5.372,15.2625820637,8.059
15.2631158829,0.,15.2631158829,15.512,15.2631158829,53.724,15.2631158829,5.372,15.2631158829,5.372
15.2634999752,0.,15.2634999752,15.505,15.2634999752,45.665,15.2634999752,8.059,15.2634999752,5.372
15.2638919353,0.,15.2638919353,15.49,15.2638919353,37.607,15.2638919353,5.372,15.2638919353,5.372
15.3033699989,0.,15.3033699989,15.423,15.3033699989,34.921,15.3033699989,5.372,15.3033699989,8.059
15.3038709164,0.,15.3038709164,15.423,15.3038709164,34.921,15.3038709164,5.372,15.3038709164,5.372
15.3042428493,0.,15.3042428493,15.557,15.3042428493,120.879,15.3042428493,5.372,15.3042428493,8.059
15.3045990467,0.,15.3045990467,15.49,15.3045990467,59.096,15.3045990467,5.372,15.3045990467,8.059
15.343613863,0.,15.343613863,15.453,15.343613863,37.607,15.343613863,8.059,15.343613863,5.372
15.3441448212,0.,15.3441448212,15.438,15.3441448212,32.234,15.3441448212,5.372,15.3441448212,8.059
15.3445038795,0.,15.3445038795,15.43,15.3445038795,24.176,15.3445038795,5.372,15.3445038795,5.372
15.3448567390,0.,15.3448567390,15.423,15.3448567390,42.979,15.3448567390,5.372,15.3448567390,5.372
15.383235693,0.,15.383235693,15.393,15.383235693,80.586,15.383235693,5.372,15.383235693,8.059
15.3837189674,0.,15.3837189674,15.542,15.3837189674,56.41,15.3837189674,5.372,15.3837189674,8.059
15.3840787411,0.,15.3840787411,15.445,15.3840787411,42.979,15.3840787411,8.059,15.3840787411,5.372
15.3844208717,0.,15.3844208717,15.385,15.3844208717,85.958,15.3844208717,0.,15.3844208717,5.372
15.4230899811,0.,15.4230899811,15.542,15.4230899811,42.979,15.4230899811,8.059,15.4230899811,5.372
15.4235620499,0.,15.4235620499,15.497,15.4235620499,53.724,15.4235620499,5.372,15.4235620499,8.059
15.4239327908,0.,15.4239327908,15.415,15.4239327908,32.234,15.4239327908,5.372,15.4239327908,5.372
15.4242796898,0.,15.4242796898,15.363,15.4242796898,88.645,15.4242796898,5.372,15.4242796898,8.059
15.4634938240,0.,15.4634938240,15.527,15.4634938240,45.665,15.4634938240,5.372,15.4634938240,10.745
15.4640347958,0.,15.4640347958,15.475,15.4640347958,56.41,15.4640347958,8.059,15.4640347958,5.372
15.4644260406,0.,15.4644260406,15.415,15.4644260406,32.234,15.4644260406,5.372,15.4644260406,5.372
15.4648127556,0.,15.4648127556,15.4,15.4648127556,67.155,15.4648127556,5.372,15.4648127556,8.059
15.5033428669,0.,15.5033428669,15.482,15.5033428669,34.921,15.5033428669,5.372,15.5033428669,5.372
15.5038349628,0.,15.5038349628,15.423,15.5038349628,32.234,15.5038349628,5.372,15.5038349628,5.372
15.5042150021,0.,15.5042150021,15.52,15.5042150021,56.41,15.5042150021,5.372,15.5042150021,8.059
15.5045907497,0.,15.5045907497,15.557,15.5045907497,53.724,15.5045907497,5.372,15.5045907497,8.059
15.5429770947,0.,15.5429770947,15.505,15.5429770947,37.607,15.5429770947,5.372,15.5429770947,8.059
15.5434818268,0.,15.5434818268,15.423,15.5434818268,32.234,15.5434818268,8.059,15.5434818268,8.059
15.5438909531,0.,15.5438909531,15.557,15.5438909531,42.979,15.5438909531,5.372,15.5438909531,5.372
15.5442669392,0.,15.5442669392,15.482,15.5442669392,42.979,15.5442669392,2.686,15.5442669392,8.059
15.5827999115,0.,15.5827999115,15.527,15.5827999115,42.979,15.5827999115,5.372,15.5827999115,5.372
15.5832798481,0.,15.5832798481,15.482,15.5832798481,34.921,15.5832798481,5.372,15.5832798481,8.059
15.5836348534,0.,15.5836348534,15.408,15.5836348534,126.252,15.5836348534,5.372,15.5836348534,5.372
15.5840137005,0.,15.5840137005,15.527,15.5840137005,42.979,15.5840137005,5.372,15.5840137005,8.059
15.6235878468,0.,15.6235878468,15.46,15.6235878468,26.862,15.6235878468,5.372,15.6235878468,5.372
15.6240777969,0.,15.6240777969,15.423,15.6240777969,85.958,15.6240777969,2.686,15.6240777969,8.059
15.6244397163,0.,15.6244397163,15.512,15.6244397163,45.665,15.6244397163,5.372,15.6244397163,5.372
15.6247949600,0.,15.6247949600,15.363,15.6247949600,99.39,15.6247949600,5.372,15.6247949600,5.372
15.6636397839,0.,15.6636397839,15.49,15.6636397839,34.921,15.6636397839,5.372,15.6636397839,8.059
15.6641318798,0.,15.6641318798,15.415,15.6641318798,96.703,15.6641318798,5.372,15.6641318798,8.059
15.6644899845,0.,15.6644899845,15.527,15.6644899845,42.979,15.6644899845,5.372,15.6644899845,8.059
15.6648468971,0.,15.6648468971,15.549,15.6648468971,64.469,15.6648468971,5.372,15.6648468971,5.372
15.7034058571,0.,15.7034058571,15.482,15.7034058571,24.176,15.7034058571,5.372,15.7034058571,5.372
15.7038908005,0.,15.7038908005,15.438,15.7038908005,32.234,15.7038908005,5.372,15.7038908005,5.372
15.7042489052,0.,15.7042489052,15.549,15.7042489052,37.607,15.7042489052,5.372,15.7042489052,8.059
15.7046039104,0.,15.7046039104,15.467,15.7046039104,21.49,15.7046039104,5.372,15.7046039104,8.059
15.7436077595,0.,15.7436077595,15.497,15.7436077595,51.038,15.7436077595,5.372,15.7436077595,8.059
15.7441537380,0.,15.7441537380,15.43,15.7441537380,61.783,15.7441537380,5.372,15.7441537380,8.059
15.7445178032,0.,15.7445178032,15.535,15.7445178032,45.665,15.7445178032,5.372,15.7445178032,8.059
15.7448849678,0.,15.7448849678,15.408,15.7448849678,110.134,15.7448849678,0.,15.7448849678,10.745
15.7833499908,0.,15.7833499908,15.482,15.7833499908,26.862,15.7833499908,5.372,15.7833499908,5.372
15.7838928699,0.,15.7838928699,15.475,15.7838928699,37.607,15.7838928699,5.372,15.7838928699,8.059
15.7842957973,0.,15.7842957973,15.423,15.7842957973,37.607,15.7842957973,5.372,15.7842957973,8.059
15.7846839428,0.,15.7846839428,15.385,15.7846839428,37.607,15.7846839428,5.372,15.7846839428,8.059
15.8241798878,0.,15.8241798878,15.482,15.8241798878,34.921,15.8241798878,2.686,15.8241798878,8.059
15.8246569633,0.,15.8246569633,15.408,15.8246569633,131.624,15.8246569633,5.372,15.8246569633,8.059
15.8249909878,0.,15.8249909878,15.535,15.8249909878,34.921,15.8249909878,5.372,15.8249909878,5.372
15.8253188133,0.,15.8253188133,15.385,15.8253188133,42.979,15.8253188133,5.372,15.8253188133,8.059
15.8634779453,0.,15.8634779453,15.527,15.8634779453,45.665,15.8634779453,5.372,15.8634779453,8.059
15.8640489578,0.,15.8640489578,15.453,15.8640489578,42.979,15.8640489578,8.059,15.8640489578,8.059
15.8644087315,0.,15.8644087315,15.4,15.8644087315,99.39,15.8644087315,5.372,15.8644087315,8.059
15.8647608757,0.,15.8647608757,15.505,15.8647608757,40.293,15.8647608757,5.372,15.8647608757,5.372
15.9036159515,0.,15.9036159515,15.557,15.9036159515,51.038,15.9036159515,5.372,15.9036159515,5.372
15.9041118622,0.,15.9041118622,15.497,15.9041118622,32.234,15.9041118622,8.059,15.9041118622,8.059
15.9044859409,0.,15.9044859409,15.4,15.9044859409,96.703,15.9044859409,8.059,15.9044859409,8.059
15.9048588276,0.,15.9048588276,15.505,15.9048588276,21.49,15.9048588276,5.372,15.9048588276,5.372
15.9431879520,0.,15.9431879520,15.408,15.9431879520,96.703,15.9431879520,5.372,15.9431879520,5.372
15.9437119961,0.,15.9437119961,15.467,15.9437119961,21.49,15.9437119961,8.059,15.9437119961,5.372
15.9440908432,0.,15.9440908432,15.423,15.9440908432,94.017,15.9440908432,5.372,15.9440908432,8.059
15.9444499016,0.,15.9444499016,15.542,15.9444499016,42.979,15.9444499016,5.372,15.9444499016,8.059
15.9828059673,0.,15.9828059673,15.467,15.9828059673,37.607,15.9828059673,5.372,15.9828059673,5.372
15.9833068848,0.,15.9833068848,15.438,15.9833068848,56.41,15.9833068848,5.372,15.9833068848,8.059
15.983673811,0.,15.983673811,15.423,15.983673811,99.39,15.983673811,5.372,15.983673811,8.059
15.984099865,0.,15.984099865,15.453,15.984099865,32.234,15.984099865,5.372,15.984099865,5.372
16.0233619213,0.,16.0233619213,15.423,16.0233619213,32.234,16.0233619213,5.372,16.0233619213,5.372
16.0238788128,0.,16.0238788128,15.549,16.0238788128,59.096,16.0238788128,2.686,16.0238788128,5.372
16.0242707729,0.,16.0242707729,15.49,16.0242707729,37.607,16.0242707729,5.372,16.0242707729,8.059
16.0246510506,0.,16.0246510506,15.467,16.0246510506,42.979,16.0246510506,5.372,16.0246510506,5.372
16.0636496544,0.,16.0636496544,15.467,16.0636496544,34.921,16.0636496544,5.372,16.0636496544,5.372
16.0642979145,0.,16.0642979145,15.542,16.0642979145,61.783,16.0642979145,5.372,16.0642979145,8.059
16.0646951199,0.,16.0646951199,15.482,16.0646951199,40.293,16.0646951199,8.059,16.0646951199,8.059
16.1033620834,0.,16.1033620834,15.438,16.1033620834,32.234,16.1033620834,5.372,16.1033620834,13.431
16.1039569378,0.,16.1039569378,15.549,16.1039569378,88.645,16.1039569378,8.059,16.1039569378,8.059
16.1043338776,0.,16.1043338776,15.542,16.1043338776,75.214,16.1043338776,5.372,16.1043338776,8.059
16.1435668468,0.,16.1435668468,15.505,16.1435668468,48.352,16.1435668468,5.372,16.1435668468,5.372
16.1440949440,0.,16.1440949440,15.415,16.1440949440,40.293,16.1440949440,5.372,16.1440949440,5.372
16.1444737911,0.,16.1444737911,15.4,16.1444737911,64.469,16.1444737911,8.059,16.1444737911,8.059
16.1448578835,0.,16.1448578835,15.527,16.1448578835,51.038,16.1448578835,5.372,16.1448578835,8.059
16.1833097935,0.,16.1833097935,15.445,16.1833097935,26.862,16.1833097935,5.372,16.1833097935,5.372
16.1837997437,0.,16.1837997437,15.564,16.1837997437,94.017,16.1837997437,8.059,16.1837997437,5.372
16.1842570305,0.,16.1842570305,15.46,16.1842570305,32.234,16.1842570305,5.372,16.1842570305,10.745
16.2236127853,0.,16.2236127853,15.423,16.2236127853,34.921,16.2236127853,5.372,16.2236127853,5.372
16.2241618633,0.,16.2241618633,15.542,16.2241618633,77.9,16.2241618633,8.059,16.2241618633,8.059
16.2245628834,0.,16.2245628834,15.475,16.2245628834,53.724,16.2245628834,5.372,16.2245628834,5.372
16.2637996674,0.,16.2637996674,15.527,16.2637996674,59.096,16.2637996674,5.372,16.2637996674,8.059
16.2642798424,0.,16.2642798424,15.475,16.2642798424,40.293,16.2642798424,5.372,16.2642798424,2.686
16.2646579742,0.,16.2646579742,15.438,16.2646579742,42.979,16.2646579742,5.372,16.2646579742,8.059
16.3033196926,0.,16.3033196926,15.505,16.3033196926,104.762,16.3033196926,5.372,16.3033196926,10.745
16.3038117886,0.,16.3038117886,15.52,16.3038117886,42.979,16.3038117886,5.372,16.3038117886,5.372
16.3042018414,0.,16.3042018414,15.49,16.3042018414,42.979,16.3042018414,5.372,16.3042018414,8.059
